index,carat,cut,color,clarity,depth,table,x,y,z,price
1004,0.79,Ideal,G,SI1,62.3,57.0,5.9,5.85,3.66,2898
1005,0.79,Ideal,G,SI1,62.3,57.0,5.9,5.85,3.66,2898
1006,0.79,Ideal,G,SI1,62.3,57.0,5.9,5.85,3.66,2898
1007,0.79,Ideal,G,SI1,62.3,57.0,5.9,5.85,3.66,2898
1008,0.79,Ideal,G,SI1,62.3,57.0,5.9,5.85,3.66,2898
2024,1.52,Good,E,I1,57.3,58.0,7.53,7.42,4.28,3105
2025,1.52,Good,E,I1,57.3,58.0,7.53,7.42,4.28,3105
2182,1.0,Fair,E,SI2,67.0,53.0,6.19,6.13,4.13,3136
2183,1.0,Fair,E,SI2,67.0,53.0,6.19,6.13,4.13,3136
2819,1.0,Fair,F,SI2,65.1,55.0,6.26,6.23,4.07,3265
2820,1.0,Fair,F,SI2,65.1,55.0,6.26,6.23,4.07,3265
3155,0.9,Very Good,I,VS2,58.4,62.0,6.29,6.35,3.69,3334
3156,0.9,Very Good,I,VS2,58.4,62.0,6.29,6.35,3.69,3334
3703,1.0,Ideal,E,SI2,62.9,56.0,6.32,6.3,3.97,3450
3704,1.0,Ideal,E,SI2,62.9,56.0,6.32,6.3,3.97,3450
3980,1.0,Fair,H,SI1,65.5,57.0,6.26,6.21,4.08,3511
3981,1.0,Fair,H,SI1,65.5,57.0,6.26,6.21,4.08,3511
4072,0.31,Good,D,SI1,63.5,56.0,4.29,4.31,2.73,571
4386,0.31,Good,D,SI1,63.5,56.0,4.29,4.31,2.73,571
4492,1.0,Ideal,I,SI2,58.8,55.0,6.53,6.46,3.82,3629
4493,1.0,Ideal,I,SI2,58.8,55.0,6.53,6.46,3.82,3629
4519,1.0,Premium,G,SI1,60.1,61.0,6.44,6.4,3.86,3634
4520,1.0,Premium,G,SI1,60.1,61.0,6.44,6.4,3.86,3634
5174,1.04,Premium,I,SI2,62.0,57.0,6.53,6.47,4.03,3774
5175,1.04,Premium,I,SI2,62.0,57.0,6.53,6.47,4.03,3774
5658,1.0,Premium,F,SI1,59.4,62.0,6.55,6.52,3.88,3881
5665,1.0,Premium,F,SI1,59.4,62.0,6.55,6.52,3.88,3881
6334,1.0,Premium,H,SI2,61.0,57.0,6.51,6.4,3.94,4032
6337,1.0,Premium,H,SI2,61.0,57.0,6.51,6.4,3.94,4032
7050,0.33,Ideal,E,SI1,62.5,55.0,4.42,4.45,2.77,579
7711,0.33,Ideal,E,SI1,62.5,55.0,4.42,4.45,2.77,579
7743,1.24,Premium,E,SI2,60.8,57.0,6.98,6.94,4.23,4278
7744,1.24,Premium,E,SI2,60.8,57.0,6.98,6.94,4.23,4278
8330,1.09,Premium,H,SI2,61.2,62.0,6.63,6.58,4.04,4395
8331,1.09,Premium,H,SI2,61.2,62.0,6.63,6.58,4.04,4395
8600,1.03,Good,D,SI1,64.3,58.0,6.31,6.28,4.05,4441
8601,1.03,Good,D,SI1,64.3,58.0,6.31,6.28,4.05,4441
9195,1.31,Premium,H,SI2,61.7,59.0,7.03,6.98,4.32,4548
9196,1.31,Premium,H,SI2,61.7,59.0,7.03,6.98,4.32,4548
9592,1.06,Ideal,I,SI1,61.2,56.0,6.64,6.6,4.05,4630
9593,1.06,Ideal,I,SI1,61.2,56.0,6.64,6.6,4.05,4630
10179,1.22,Premium,I,SI2,61.5,61.0,6.89,6.83,4.22,4735
10180,1.22,Premium,I,SI2,61.5,61.0,6.89,6.83,4.22,4735
10362,1.23,Ideal,I,SI2,62.3,55.0,6.85,6.82,4.26,4773
10363,1.23,Ideal,I,SI2,62.3,55.0,6.85,6.82,4.26,4773
10471,1.01,Fair,F,VS2,64.8,56.0,6.3,6.25,4.07,4791
10472,1.01,Fair,F,VS2,64.8,56.0,6.3,6.25,4.07,4791
11008,1.1,Premium,H,SI1,63.0,58.0,6.6,6.55,4.14,4916
11009,1.1,Premium,H,SI1,63.0,58.0,6.6,6.55,4.14,4916
11242,1.1,Premium,E,SI2,59.1,60.0,6.77,6.7,3.98,4967
11243,1.1,Premium,E,SI2,59.1,60.0,6.77,6.7,3.98,4967
11314,1.23,Ideal,J,VS2,61.8,56.0,6.87,6.81,4.23,4986
